rank,name,birthyear,begin,female,education,edu,edu_year,nation,eth_han,birth_prov,birth_city,purge,fwhr1,mouth_width,nose_width,nose_length,nwhr,eyebrow_position,foreheadr,lip_thickness,eyesize,chin_length,chin_width,flength,gdp,connections,attractiveness,competence,aggressiveness,trustworthiness,latitude,longitude,weighted_avg_gdp_growth_rate,weighted_avg_gdp,weighted_avg_fiscal_growth_rate,weighted_avg_fiscal_revenue,avg_gdp_growth_rate_t_plus_2,avg_fiscal_growth_rate_t_plus_2
1,聂文权,1949/3/1,1998/1/1,0,本科,1,16,汉族,1,吉林省,长春市,0,2.41789966,0.311067416,0.155533708,0.266081461,0.584534178,0.132886236,0.258042871,0.076980337,0.095723315,0.201432584,-0.38241573,0.330337079,0.030828677,3.917808219,2.96813786,3.26855135,2.641432643,3.360289454,43.8844201,125.3180998,0.096939781,16.06637667,,,,
1,聂春玉,1955/7/1,2003/2/1,0,硕士,2,18,汉族,1,山西省,临汾市,1,2.29672149,0.31061234,0.173261308,0.280078568,0.618616804,0.122875486,0.239157456,0.074010109,0.098173897,0.188346149,-0.373885149,0.361911367,0.134105986,0,2.888990927,3.056795168,2.657725906,3.070826054,36.229963,111.381767,0.319354222,52.50748835,0.381575518,4254.0649,0.922584374,1.240739018
1,聂瑞平,1959/11/1,2011/12/1,0,硕士,2,18,汉族,1,河北省,沧州市,0,2.175808008,0.290063912,0.165246862,0.280535923,0.589039937,0.139251583,0.245540562,0.082701679,0.096117299,0.174108206,-0.356324593,0.356469406,-0.02708633,0,2.856861115,3.119992352,2.515235996,3.017549753,38.3042796,116.8511597,0.030502562,305.4897454,0.094318525,24306.35853,0.145942175,0.292626087
1,聂辰席,1957/7/1,2003/3/1,0,博士,2,22,汉族,1,河北省,石家庄市,0,2.230075167,0.286392472,0.153968187,0.267681151,0.575192487,0.106052663,0.255050225,0.092528744,0.090780049,0.194536417,-0.384450697,0.355724963,0.046513698,0,2.761603773,2.972565293,2.813825697,3.16075784,38.0429742,114.5088385,0.20996022,105.3401913,0.251964776,3983.460492,0.443614759,0.580679437
1,肖云刚,1956/1/1,2003/12/1,0,本科,1,16,汉族,1,湖北省,仙桃市,0,2.311114067,0.30157235,0.161993092,0.28205283,0.574335993,0.127647755,0.25669641,0.076250513,0.103651909,0.190090895,-0.393212247,0.363156051,-0.145766017,0,2.742363214,3.071563721,2.829712749,3.28913486,30.3309199,113.4369344,0.042413619,11.516474,0.416420299,795.924,-0.227696234,0.072456024
1,肖亚非,1966/6/1,2018/2/1,0,硕士,2,18,汉族,1,江西省,宜春市,0,2.178999623,0.26962138,0.151881018,0.27951128,0.543380641,0.130398631,0.251080738,0.084501404,0.092885742,0.163180707,-0.361891268,0.3601655,0.026670488,0,2.693179727,3.006040275,2.802211761,3.076691329,28.3803015,115.0153957,0.081554201,913.7094,0.036747317,72134.11356,0.165680106,0.068993908
1,肖伏清,1961/7/1,2016/6/1,0,硕士,2,18,汉族,1,湖北省,孝感市,0,2.319173055,0.273675159,0.148774501,0.263853087,0.563853554,0.141079029,0.252265843,0.084703167,0.09099319,0.179598882,-0.364378026,0.340459391,-0.003042122,0,2.603821707,2.960118771,2.862756157,2.881159592,31.176413,113.922434,0.113349207,182.4,0.115521182,12642.82,0.179026399,0.16495042
1,肖化,1955/11/1,2006/2/1,0,硕士,2,18,土家族,0,湖北省,宜昌市,1,2.313241897,0.294154575,0.154080968,0.267524895,0.575950017,0.138547315,0.262792602,0.082690512,0.09734331,0.169441981,-0.371147976,0.353016879,-0.023013406,0,2.989531517,3.294683218,2.671133518,3.22374022,30.694088,111.2803074,0.186172057,23.29612952,0.404394292,1252.843333,0.406925414,0.970637998
1,肖培生,1963/3/1,2013/3/1,0,硕士,2,18,汉族,1,浙江省,宁波市,0,2.440087906,0.292913461,0.157476014,0.257350147,0.611913441,0.143523796,0.270835697,0.089994775,0.101399972,0.179989551,-0.39260948,0.340398499,-0.020572401,0,3.107014537,3.133384109,2.861032963,3.072565913,29.8622194,121.6203873,0.058965359,337.02,0.097122553,27032.01,0.121311175,0.20297125
1,肖天任,1953/5/1,2001/1/1,0,硕士,2,18,汉族,1,四川省,宜宾市,0,2.428526393,0.287300615,0.174100682,0.265707124,0.655235281,0.122442188,0.256219965,0.094197965,0.105093796,0.17154915,-0.393548575,0.347830057,-0.012473471,0,2.480175336,3.050049623,2.85013636,2.96330444,28.58689,104.718661,0.125678665,22.605752,0.122588442,986.6566667,0.215944951,
1,肖庆平,1956/3/1,2006/7/1,0,硕士,2,18,汉族,1,甘肃省,陇南市,0,2.375702243,0.307067296,0.161062057,0.27028538,0.595896296,0.134365379,0.258094772,0.080079608,0.096516205,0.195659028,-0.375779223,0.343342015,-0.044805799,0,2.650920073,3.187357744,2.663312833,3.141407092,33.3721445,104.9572932,0.135868067,24.79087317,0.282463607,781.5143997,0.260909635,0.636675257
